ticker,filed,items,open,prior_dollars,d0,pk_d0,d1,pk_d1,d3,pk_d3,d5,pk_d5,d10,pk_d10
AAT,2026-07-28 16:17:44-04:00,"2.02,7.01,9.01",23.079999923706055,8983502.525234222,0.027729609695148927,0.03596186856367978,0.027729609695148927,0.03596186856367978,0.027729609695148927,0.03596186856367978,0.027729609695148927,0.03596186856367978,0.027729609695148927,0.03596186856367978
AAOI,2026-07-01 16:06:00-04:00,"1.01,2.03,9.01",135.85000610351562,1701091076.322174,-0.1096798563551028,0.025174810565259165,-0.09193967561287308,0.025174810565259165,-0.15760031431868526,0.025174810565259165,-0.1172617388212106,0.025174810565259165,-0.24615385306589888,0.025174810565259165
AAL,2026-07-23 07:00:28-04:00,"2.02,7.01,9.01",13.869999885559082,2330351139.986515,0.04397978815503478,0.04974769572824722,0.07786589276258815,0.09084356447570707,0.0699351315812724,0.11103100032873225,0.0699351315812724,0.11103100032873225,0.0699351315812724,0.11103100032873225
AAL,2026-07-15 16:30:37-04:00,"5.02,7.01,9.01",15.369999885559082,2417119297.1609116,0.01496424838146826,0.04619388701583893,-0.025374127926258483,0.04619388701583893,-0.0058555727558885495,0.04619388701583893,-0.11776183991015976,0.04619388701583893,-0.03448274150406172,0.04619388701583893
ABAT,2026-07-10 16:45:34-04:00,"5.02,9.01",2.549999952316284,9749516.477763653,-0.01960782480441492,0.013333395664989256,0.023529389765297948,0.06274513287161154,-0.050980344491478924,0.06274513287161154,-0.10196078248044149,0.06274513287161154,-0.10980391240220744,0.06274513287161154
AA,2026-07-16 16:12:48-04:00,"2.02,9.01",46.529998779296875,259680759.39369202,-0.05480333771672363,0.006877277094763157,-0.0655490934252424,0.006877277094763157,-0.00773695722751111,0.010745755708518656,-0.04921549883747245,0.010745755708518656,-0.07844396748202098,0.010745755708518656
AA,2026-07-02 16:17:43-04:00,"1.01,8.01,9.01",48.84000015258789,362018820.03479004,0.021089246029461828,0.04484026658204132,0.0034807159789966846,0.04484026658204132,-0.0024569805796449407,0.04484026658204132,-0.0024569805796449407,0.04484026658204132,-0.10974612190019728,0.04484026658204132
AB,2026-07-28 06:23:31-04:00,"2.02,9.01",37.400001525878906,8395365.01121521,-0.007754034858171832,0.0040106338251844065,-0.007754034858171832,0.0040106338251844065,-0.007754034858171832,0.0040106338251844065,-0.007754034858171832,0.0040106338251844065,-0.007754034858171832,0.0040106338251844065
AB,2026-07-13 16:22:04-04:00,"7.01,9.01",37.27000045776367,9685749.850845337,0.009659259617115667,0.014220519795740127,0.02226986869232861,0.0297826830350989,0.016903704329952474,0.03166086103253529,0.008854253080339936,0.03166086103253529,0.0021464452743455986,0.03166086103253529
ABCB,2026-07-23 16:16:33-04:00,"2.02,7.01,9.01",87.04000091552734,37213824.48692322,0.007927417671742765,0.011948539804551128,-0.011488970467388948,0.015050523263035132,0.009076297187703863,0.016314317026759007,0.009076297187703863,0.016314317026759007,0.009076297187703863,0.016314317026759007
