ticker,et,items,p_pre,entry,baseline_usd_per_min,gate_usd,rvol,entry_lag_min,moved_at_entry,r15m,r60m,r1d,r5d,fwd_up,fwd_dn
AA,2026-07-16 16:12:48-04:00,"2.02,9.01",47.0,46.849998474121094,367971.24464416504,0.0,0.0,1037.2,-0.0031915218272107193,-0.04670003841567194,-0.04653149148724023,-0.0661685928513629,0.0014941237375467598,0.002774836122717117,-0.08772672208142263
AA,2026-07-02 16:17:43-04:00,"1.01,8.01,9.01",49.12,49.86000061035156,638989.2077636719,0.0,0.0,5352.283333333334,0.015065159005528628,0.01845162771125808,-0.004312076814199872,0.00020054932864077557,-0.025471328564324214,0.023465666959948006,-0.054552771508358466
AAL,2026-07-23 07:00:28-04:00,"2.02,7.01,9.01",14.734999656677246,14.170000076293945,5036076.039800644,0.0,0.0,149.53333333333333,-0.03834405113998551,-0.04093153991413023,-0.04234300481575237,-0.04375440241502371,0.05222300068608021,0.06774876732379331,-0.06104444364578987
AAL,2026-07-15 16:30:37-04:00,"5.02,7.01,9.01",15.614999771118164,15.4350004196167,5095544.860673904,0.0,0.0,1019.3833333333333,-0.011527336160093715,-0.0009718395150601911,0.017816625270756115,0.010042094509709054,-0.019760304300876386,0.04178811056393683,-0.032070024345726034
AAME,2026-07-15 16:22:31-04:00,8.01,1.6201000213623047,1.6301000118255615,1714.779965519905,0.0,0.0,1030.4833333333333,0.006172452522312799,-0.006257299292759311,-0.043003538762946714,-0.024599704408352352,-0.024599704408352352,0.024415636081487335,-0.05527271291264546
AAT,2026-07-28 16:17:44-04:00,"2.02,7.01,9.01",24.11,23.520000457763672,17881.599731445312,0.0,0.0,1032.2666666666667,-0.02447115480034545,0.007227894259578038,0.007653074050700814,0.0055271750950876,0.0055271750950876,0.022835877032457486,-0.003826537025350407
AB,2026-07-28 06:23:31-04:00,"2.02,9.01",37.9,37.54999923706055,18513.0,0.0,0.0,186.48333333333332,-0.009234848626370806,-0.005858785898156027,0.009187782362525931,-0.008788229642138767,-0.02210380914038057,0.014380850239655407,-0.022370177620638643
AB,2026-07-13 16:22:04-04:00,"7.01,9.01",37.35,37.33000183105469,17361.799354553223,0.0,0.0,1027.9333333333334,-0.0005354262100485396,0.0034823800439738317,0.005089703117853173,0.026386197357078034,-0.007500738822927344,0.029868679589561964,-0.01433173415127742
ABAT,2026-07-10 16:45:34-04:00,"5.02,9.01",2.63,2.5799999237060547,7108.750104904175,0.0,0.0,3884.4333333333334,-0.01901143585321108,-0.030969003365952985,-0.027093037955499666,-0.03488368869407976,-0.0949611987612583,0.05038764274619778,-0.10852712390299724
ABCB,2026-07-23 16:16:33-04:00,"2.02,7.01,9.01",89.16,87.04000091552734,68652.15023040771,0.0,0.0,1033.45,-0.02377746842163142,-0.0040211221328084745,0.002987156864609819,-0.0035615527956462945,0.007352934086817919,0.017922765879882396,-0.013556988657674518
ABCL,2026-07-06 14:53:55-04:00,"5.02,9.01",7.804999828338623,7.800000190734863,54992.4403963089,791244.8580503464,4.796082590917077,1.0833333333333333,-0.0006405685731865063,-0.005346200274291446,0.0,-0.0320512812675261,-0.06025644301741084,0.0820512017946684,-0.12564102501402086
ABG,2026-07-28 07:04:10-04:00,"2.02,9.01",226.64,235.0,147671.48358154297,0.0,0.0,145.83333333333334,0.036886692552065004,-0.03191489361702127,-0.014510653881316449,0.0679999818193151,-0.009042553191489389,0.09451060193650274,-0.037808487263131685
ABR,2026-07-06 17:24:57-04:00,"1.01,2.03,3.02,9.01",5.0,5.03000020980835,21929.219118595123,0.0,0.0,965.05,0.006000041961669922,-0.002982175486494709,-0.010934453853209014,-0.019880756587912773,-0.01590465153206444,0.01888663742128749,-0.033797230457853766
ABT,2026-07-16 07:36:19-04:00,"2.02,9.01",89.33,95.29000091552734,1227399.0616264343,0.0,0.0,113.68333333333334,0.06671891767074167,0.04680864487494696,0.04669951627125091,0.0356280471240209,0.05750861239257388,0.07524397208581601,-0.0030433509575094053
ABTC,2026-07-06 17:15:15-04:00,"3.03,5.03,8.01,9.01",8.479999542236328,8.40999984741211,29161.932634830475,0.0,0.0,974.75,-0.008254681439022638,-0.07123658108771946,-0.16052317825522733,-0.2247324495573182,-0.260416142202482,-0.009512476237520051,-0.34007130898549465
ABUS,2026-07-16 07:31:17-04:00,"1.02,5.02,8.01,9.01",4.565000057220459,4.795000076293945,11556.440338134766,0.0,0.0,118.71666666666667,0.05038335513483627,-0.03232538213599967,-0.012513022278388575,-0.011470345005352156,-0.07924924054112215,0.009384791569956752,-0.11366007666785605
ACA,2026-07-15 16:25:30-04:00,1.04,144.85,145.10000610351562,104048.61065673828,0.0,0.0,1024.5,0.0017259655058035062,-0.0015162040761471651,-0.0013094585348997212,-0.0006892219111575004,-0.0017919349048097777,0.0020674554124742173,-0.004962103310936272
