ticker,band,items,impact,paperwork_public_et,entry_t,entry_px,lag_min,exit_t,exit_px,exit_reason,held_min,size_usd,ret,pnl,balance_after
AVNS,small,"7.01,9.01",low,2026-07-02 10:10:31-04:00,2026-07-02 14:12:00+00:00,24.924999237060547,1.4833333333333334,2026-07-02 18:44:00+00:00,24.924999237060547,time,272.0,40.0,0.0,0.0,80.0
ESI,mid,"7.01,9.01",high,2026-07-06 09:13:10-04:00,2026-07-06 13:30:00+00:00,44.310001373291016,16.833333333333332,2026-07-06 17:30:00+00:00,42.595001220703125,time,240.0,40.0,-0.03870458360269091,-1.5481833441076347,78.45181665589237
XRN,mid,"1.01,2.01,9.01",low,2026-07-02 17:26:58-04:00,2026-07-06 13:30:00+00:00,38.099998474121094,5283.033333333334,2026-07-08 15:13:00+00:00,36.880001068115234,time,2983.0,40.0,-0.03202093057390876,-1.2808372229563503,77.17097943293602
TCBX,small,"8.01,9.01",low,2026-07-13 08:05:42-04:00,2026-07-13 13:30:00+00:00,39.97999954223633,84.3,2026-07-15 20:15:00+00:00,40.55,time,3285.0,38.585489716468004,0.014257140177340366,0.5501187356990087,77.72109816863502
MAIN,mid,"2.02,9.01",low,2026-07-16 09:15:53-04:00,2026-07-16 13:30:00+00:00,53.68000030517578,14.116666666666667,2026-07-16 17:59:00+00:00,55.345001220703125,time,269.0,38.86054908431751,0.03101715547804873,1.205343692910617,78.92644186154564
CCRN,small,"5.07,9.01",low,2026-07-17 08:19:25-04:00,2026-07-17 13:30:00+00:00,13.25,70.58333333333333,2026-07-20 14:46:00+00:00,13.25,time,4396.0,39.46322093077282,0.0,0.0,78.92644186154564
FNWD,micro,8.01,low,2026-07-06 16:45:19-04:00,2026-07-07 13:37:00+00:00,36.9900016784668,1011.6833333333333,2026-07-21 20:55:00+00:00,39.209401779174804,target,20598.0,39.225908327946186,0.06000000000000005,2.3535544996767754,81.27999636122242
FATN,micro,"8.01,9.01",medium,2026-07-21 10:37:34-04:00,2026-07-21 14:46:00+00:00,4.599999904632568,8.433333333333334,2026-07-22 15:32:00+00:00,4.875999898910523,target,1486.0,39.46322093077282,0.06000000000000005,2.3677932558463723,83.64778961706878
BPOP,mid,"8.01,9.01",low,2026-07-23 08:10:48-04:00,2026-07-23 13:30:00+00:00,175.1199951171875,79.2,2026-07-23 19:01:00+00:00,172.14999389648438,time,331.0,41.82389480853439,-0.016959806438526015,-0.7093251604580146,82.93846445661077
FCFS,mid,"2.02,8.01,9.01",medium,2026-07-23 15:26:57-04:00,2026-07-23 19:28:00+00:00,191.94000244140625,1.05,2026-07-24 13:36:00+00:00,203.45640258789064,target,1088.0,41.46923222830539,0.06000000000000005,2.488153933698328,85.4266183903091
PROF,micro,"7.01,9.01",low,2026-07-24 11:58:37-04:00,2026-07-24 16:03:00+00:00,7.019999980926514,4.383333333333334,2026-07-27 13:40:00+00:00,7.4411999797821045,target,4177.0,42.71330919515455,0.06000000000000005,2.562798551709271,87.98941694201838
CAC,small,"2.02,9.01",low,2026-07-28 08:05:37-04:00,2026-07-28 13:30:00+00:00,55.869998931884766,84.38333333333334,2026-07-29 18:44:00+00:00,59.22219886779786,target,1754.0,43.99470847100919,0.06000000000000005,2.639682508260556,90.62909945027894
JMSB,micro,"2.02,9.01",low,2026-07-22 08:40:12-04:00,2026-07-22 13:30:00+00:00,22.889999389648438,49.8,2026-07-29 18:51:20+00:00,23.614999771118164,time,10401.333333333334,40.63999818061121,0.031673237256510944,1.2872003044786737,91.91629975475762
