source,ticker,date,open,d0,pk_d0,d1,pk_d1,d5,pk_d5,d10,pk_d10
fda_510k,ABT,2026-07-02,95.0,0.006631550035978595,0.009684191252055996,0.008842066714638053,0.03305262515419405,-0.03042104620682562,0.03305262515419405,0.07010530170641438,0.0785263061523438
trial_update,ABEO,2026-07-14,7.090000152587891,0.028208717201809286,0.036671332362352205,-0.00987308464807668,0.03808180184988608,-0.09449930350839153,0.03808180184988608,-0.12129761847755383,0.03808180184988608
trial_update,ACAD,2026-07-24,25.219999313354492,0.006740685207073938,0.022204654581195138,0.031324382911819715,0.03409994582736475,0.04440923353397297,0.05233947811703099,0.04440923353397297,0.05233947811703099
trial_update,AKBA,2026-07-09,1.4299999475479126,-0.020979001741372683,0.006293750540297349,-0.03496500290228777,0.006293750540297349,-0.06293700522411805,0.006293750540297349,-0.1468530955527514,0.006293750540297349
fda_pma,A,2026-07-01,134.11000061035156,-0.02550144026083412,0.002758892815625913,-0.026172503846555117,0.002758892815625913,0.001342127171441998,0.016628109144657843,-0.019759852989515436,0.020878406077210032
fda_510k,ALGN,2026-07-02,183.72000122070312,0.025419105910712725,0.026562186209383665,0.00816459824751492,0.039462224862989004,-0.017036821587282813,0.039462224862989004,-0.04719136790408596,0.039462224862989004
trial_results,ALGS,2026-07-09,6.840000152587891,-0.03216378101184281,0.0014619520207019843,-0.0701754398195269,0.0014619520207019843,-0.16081876563314768,0.0014619520207019843,-0.40350879639053794,0.0014619520207019843
trial_update,ALGS,2026-07-09,6.840000152587891,-0.03216378101184281,0.0014619520207019843,-0.0701754398195269,0.0014619520207019843,-0.16081876563314768,0.0014619520207019843,-0.40350879639053794,0.0014619520207019843
trial_update,ACOG,2026-07-20,8.430000305175781,-0.06405698922200997,0.001186153599707529,-0.06287072249368064,0.02609718925151383,-0.0023725334566586653,0.09964414260722565,0.043890850790587965,0.09964414260722565
fda_drug,AMRX,2026-07-09,16.90999984741211,0.00591368316807106,0.014488518122067973,0.015966910715554672,0.02572439206786603,0.0555884413092691,0.08752214994625351,0.05972798568868143,0.08752214994625351
trial_update,AQST,2026-07-15,3.9200000762939453,0.005102035851341613,0.04081628681073313,0.05102035851341635,0.06122443021609958,-0.03826532970612717,0.06632646606744141,-0.08163269526359607,0.06632646606744141
fda_pma,AORT,2026-07-15,24.450000762939453,0.05235168668121504,0.06584861565498668,0.02494882143020405,0.06584861565498668,0.02249485561956366,0.06584861565498668,0.12678929968869257,0.1464212602043149
fda_pma,ALC,2026-07-02,68.63999938964844,-0.0045162814882032665,0.002913708479320709,-0.025786664609634857,0.005244764183460315,0.005244764183460315,0.007138663579933313,0.020396292807806082,0.04152095716001569
fda_pma,ALC,2026-07-08,66.37999725341797,0.011449264351865107,0.012051869310925944,0.021542638812057868,0.025158268566422004,0.06387474643870594,0.06447735139776656,0.012503794296435444,0.07698103075905816
fda_pma,ALC,2026-07-06,68.80000305175781,-0.028052328772774193,0.0029069322582984114,-0.03255821793320157,0.0029069322582984114,-0.028197708653396436,0.004796427136956716,-0.02107564699591491,0.03909876006819446
fda_pma,ALC,2026-07-02,68.63999938964844,-0.0045162814882032665,0.002913708479320709,-0.025786664609634857,0.005244764183460315,0.005244764183460315,0.007138663579933313,0.020396292807806082,0.04152095716001569
fda_pma,ALC,2026-07-06,68.80000305175781,-0.028052328772774193,0.0029069322582984114,-0.03255821793320157,0.0029069322582984114,-0.028197708653396436,0.004796427136956716,-0.02107564699591491,0.03909876006819446
fda_pma,ALC,2026-07-02,68.63999938964844,-0.0045162814882032665,0.002913708479320709,-0.025786664609634857,0.005244764183460315,0.005244764183460315,0.007138663579933313,0.020396292807806082,0.04152095716001569
trial_update,ARWR,2026-07-14,71.91000366210938,-0.001251619561974504,0.010568689586041513,-0.0074399059221752495,0.015157784485901216,0.23348619706690066,0.3279097900266812,0.19899870435042044,0.3279097900266812
trial_update,ALNY,2026-07-15,279.6499938964844,0.012515644828855477,0.024852538382689415,-0.04355441781375402,0.024852538382689415,-0.0390130659761353,0.024852538382689415,0.024924017067145643,0.039156132472810024
trial_update,ALNY,2026-07-23,268.739990234375,0.011274834000903011,0.02545209714387986,0.035945538487534456,0.059313846173413065,0.06653272878077754,0.081342623589723,0.06653272878077754,0.081342623589723
trial_update,ALNY,2026-07-15,279.6499938964844,0.012515644828855477,0.024852538382689415,-0.04355441781375402,0.024852538382689415,-0.0390130659761353,0.024852538382689415,0.024924017067145643,0.039156132472810024
trial_update,ALNY,2026-07-23,268.739990234375,0.011274834000903011,0.02545209714387986,0.035945538487534456,0.059313846173413065,0.06653272878077754,0.081342623589723,0.06653272878077754,0.081342623589723
trial_update,ALNY,2026-07-23,268.739990234375,0.011274834000903011,0.02545209714387986,0.035945538487534456,0.059313846173413065,0.06653272878077754,0.081342623589723,0.06653272878077754,0.081342623589723
trial_update,ALNY,2026-07-15,279.6499938964844,0.012515644828855477,0.024852538382689415,-0.04355441781375402,0.024852538382689415,-0.0390130659761353,0.024852538382689415,0.024924017067145643,0.039156132472810024
trial_update,ASND,2026-07-02,274.260009765625,-0.023116736352881362,0.001093808000754981,-0.02658064714265751,0.001093808000754981,-0.032961453449400824,0.02876826314416725,-0.0820389938657734,0.02876826314416725
trial_update,ASND,2026-07-08,277.55999755859375,-0.00767403408829781,0.01653695193206528,-0.025616030458645467,0.01653695193206528,-0.0639862009001344,0.01653695193206528,-0.08971031170018628,0.01653695193206528
trial_update,AVBP,2026-07-02,34.79999923706055,-0.008907976016953922,0.02298848432756806,-0.01781606165164773,0.02298848432756806,-0.03333332967940872,0.02298848432756806,-0.1890804617230747,0.02298848432756806
trial_update,AVIR,2026-07-27,4.829999923706055,-0.06625252585484165,0.01863357225869966,-0.04347826945426525,0.01863357225869966,-0.04347826945426525,0.01863357225869966,-0.04347826945426525,0.01863357225869966
trial_update,AVIR,2026-07-16,4.650000095367432,0.04731178186659091,0.05268814635147279,0.026881719878786958,0.06881713726049576,0.017204284315123886,0.06881713726049576,-0.00645165789098312,0.06881713726049576
trial_update,BDTX,2026-07-22,1.809999942779541,0.016574636214070848,0.02209949299826519,-0.027624283920971493,0.02209949299826519,-0.08287291762440252,0.02209949299826519,-0.08287291762440252,0.02209949299826519
trial_update,BDTX,2026-07-23,1.8300000429153442,-0.038251393885527674,0.0,-0.05464482049003094,0.00819671330225158,-0.09289621437555862,0.00819671330225158,-0.09289621437555862,0.00819671330225158
trial_update,AXSM,2026-07-24,240.42999267578125,-0.008567972471602792,0.021066433455481537,-0.025911890851072705,0.021066433455481537,-0.05411136257188953,0.021066433455481537,-0.05411136257188953,0.021066433455481537
trial_update,AXSM,2026-07-24,240.42999267578125,-0.008567972471602792,0.021066433455481537,-0.025911890851072705,0.021066433455481537,-0.05411136257188953,0.021066433455481537,-0.05411136257188953,0.021066433455481537
trial_update,AXSM,2026-07-28,233.9600067138672,-0.027953532044988738,0.008334744795194915,-0.027953532044988738,0.008334744795194915,-0.027953532044988738,0.008334744795194915,-0.027953532044988738,0.008334744795194915
