ticker,band,items,impact,paperwork_public_et,entry_t,entry_px,lag_min,exit_t,exit_px,exit_reason,held_min,size_usd,ret,pnl,balance_after
AVNS,small,"7.01,9.01",low,2026-07-02 10:10:31-04:00,2026-07-02 14:12:00+00:00,24.924999237060547,1.4833333333333334,2026-07-02 16:31:00+00:00,24.924999237060547,time,139.0,20.0,0.0,0.0,80.0
ESI,mid,"7.01,9.01",high,2026-07-06 09:13:10-04:00,2026-07-06 13:30:00+00:00,44.310001373291016,16.833333333333332,2026-07-06 15:30:00+00:00,42.59000015258789,time,120.0,20.0,-0.03881744904977369,-0.776348980995472,79.22365101900454
XRN,mid,"1.01,2.01,9.01",low,2026-07-02 17:26:58-04:00,2026-07-06 13:30:00+00:00,38.099998474121094,5283.033333333334,2026-07-07 14:42:00+00:00,37.7322998046875,time,1512.0,20.0,-0.009650884098679091,-0.1930176819735827,79.03063333703095
VERA,small,8.01,medium,2026-07-07 12:45:57-04:00,2026-07-07 16:47:00+00:00,42.470001220703125,1.05,2026-07-07 18:47:00+00:00,42.994998931884766,time,120.0,19.757658334257737,0.012361612811202738,0.24423652238412785,79.27486985941508
TCBX,small,"8.01,9.01",low,2026-07-13 08:05:42-04:00,2026-07-13 13:30:00+00:00,39.97999954223633,84.3,2026-07-14 17:48:00+00:00,40.54499816894531,time,1698.0,19.81871746485377,0.014132031845375481,0.28007874634781516,79.55494860576289
MAIN,mid,"2.02,9.01",low,2026-07-16 09:15:53-04:00,2026-07-16 13:30:00+00:00,53.68000030517578,14.116666666666667,2026-07-16 15:41:00+00:00,54.94499969482422,time,131.0,19.888737151440722,0.023565562266333773,0.46868927374102043,80.02363787950391
CCRN,small,"5.07,9.01",low,2026-07-17 08:19:25-04:00,2026-07-17 13:30:00+00:00,13.25,70.58333333333333,2026-07-17 17:21:00+00:00,13.25,time,231.0,20.005909469875977,0.0,0.0,80.02363787950391
WAFD,mid,"2.02,9.01",low,2026-07-17 13:03:27-04:00,2026-07-17 17:06:00+00:00,38.16999816894531,2.55,2026-07-17 19:26:00+00:00,38.029998779296875,time,140.0,20.005909469875977,-0.0036677861242954135,-0.07337739715752178,79.95026048234638
AFBI,micro,"8.01,9.01",low,2026-07-17 17:04:29-04:00,2026-07-20 13:30:00+00:00,22.760000228881836,3865.516666666667,2026-07-20 18:17:00+00:00,22.829999923706055,time,287.0,19.9875651205866,0.0030755577381493815,0.06147291057338222,80.01173339291977
FNWD,micro,8.01,low,2026-07-06 16:45:19-04:00,2026-07-07 13:37:00+00:00,36.9900016784668,1011.6833333333333,2026-07-20 20:04:00+00:00,36.625,time,19107.0,19.805912754751134,-0.00986757669381988,-0.19543636309861512,79.81629702982116
MLI,mid,"2.02,9.01",low,2026-07-21 12:09:15-04:00,2026-07-21 16:11:00+00:00,60.650001525878906,1.75,2026-07-21 18:14:00+00:00,61.83000183105469,time,123.0,19.95407425745529,0.01945589901877054,0.3882244537660995,80.20452148358726
FATN,micro,"8.01,9.01",medium,2026-07-21 10:37:34-04:00,2026-07-21 14:46:00+00:00,4.599999904632568,8.433333333333334,2026-07-22 15:12:00+00:00,4.760000228881836,time,1466.0,19.95407425745529,0.03478267990573958,0.6940561777124259,80.89857766129968
AXTA,mid,"1.01,8.01,9.01",low,2026-07-23 09:04:24-04:00,2026-07-23 13:30:00+00:00,31.979999542236328,25.6,2026-07-23 15:43:00+00:00,32.15999984741211,time,133.0,20.22464441532492,0.005628527446914111,0.11383496619573563,81.01241262749542
BPOP,mid,"8.01,9.01",low,2026-07-23 08:10:48-04:00,2026-07-23 13:30:00+00:00,175.1199951171875,79.2,2026-07-23 16:05:00+00:00,171.19000244140625,time,155.0,20.22464441532492,-0.022441713027409382,-0.45387566605012,80.5585369614453
FCFS,mid,"2.02,8.01,9.01",medium,2026-07-23 15:26:57-04:00,2026-07-23 19:28:00+00:00,191.94000244140625,1.05,2026-07-24 13:36:00+00:00,203.45640258789064,target,1088.0,20.139634240361325,0.06000000000000005,1.2083780544216793,81.76691501586697
PROF,micro,"7.01,9.01",low,2026-07-24 11:58:37-04:00,2026-07-24 16:03:00+00:00,7.019999980926514,4.383333333333334,2026-07-27 13:40:00+00:00,7.4411999797821045,target,4177.0,20.441728753966743,0.06000000000000005,1.226503725238004,82.99341874110497
JMSB,micro,"2.02,9.01",low,2026-07-22 08:40:12-04:00,2026-07-22 13:30:00+00:00,22.889999389648438,49.8,2026-07-27 15:00:00+00:00,22.93000030517578,time,7290.0,20.051130370896814,0.0017475280294430018,0.0350399123451588,83.02845865345013
JMSB,micro,"8.01,9.01",low,2026-07-22 08:45:14-04:00,2026-07-22 13:30:00+00:00,22.889999389648438,44.766666666666666,2026-07-27 15:00:00+00:00,22.93000030517578,time,7290.0,20.051130370896814,0.0017475280294430018,0.0350399123451588,83.06349856579529
NKSH,micro,2.02,low,2026-07-23 16:30:14-04:00,2026-07-24 13:42:00+00:00,36.290000915527344,1031.7666666666667,2026-07-27 15:05:00+00:00,38.46740097045899,target,4403.0,20.139634240361325,0.06000000000000005,1.2083780544216793,84.27187662021697
CAC,small,"2.02,9.01",low,2026-07-28 08:05:37-04:00,2026-07-28 13:30:00+00:00,55.869998931884766,84.38333333333334,2026-07-29 14:01:00+00:00,57.88999938964844,time,1471.0,21.067969155054243,0.03615536954325704,0.7617202103269278,85.0335968305439
