k,trades,per_month,model_net,random_net,p,spike,stop
1,278,4.3729328165374675,0.0009826905988792158,-0.005628942536349627,0.044,0.2697841726618705,0.33093525179856115
2,556,8.745865633074935,-0.0008352242653180582,-0.005676554776537331,0.035,0.26258992805755393,0.33992805755395683
3,834,13.118798449612402,-0.0007518025858101438,-0.005574727104864765,0.011,0.26139088729016785,0.34172661870503596
5,1390,21.864664082687337,-0.0008122970663539901,-0.005599385172664866,0.002,0.2589928057553957,0.33525179856115106
8,2224,34.98346253229974,-0.0018851593042967221,-0.00571102487242848,0.0015,0.2504496402877698,0.3363309352517986
12,3336,52.47519379844961,-0.000989347415312863,-0.005704433471704552,0.0,0.2502997601918465,0.32793764988009594
20,5560,87.45865633074935,0.0010377184419444777,-0.005637631967162388,0.0,0.2588129496402878,0.30863309352517987
