accession,ticker,items,et,chars,event_category,is_binding,transaction_value_usd,value_confidence,has_toxic_financing,toxic_signals,revenue,market_cap,shock,key,up20,dn20,fwd_up,fwd_dn,neg,lng
0000927089-26-000129,USCB,"7.01,9.01",2026-07-20 20:34:03+00:00,4610,ADMINISTRATIVE,False,,NONE,False,,,346753718.14115524,,USCB|2026-07-20 20:34:00+00:00,False,False,0.1802137728683897,-0.03156849297078257,False,False
0001562762-26-000082,USCB,"2.02,7.01,9.01",2026-07-23 20:00:18+00:00,4676,ADMINISTRATIVE,False,,NONE,False,,,346753718.14115524,,USCB|2026-07-23 20:00:00+00:00,False,False,0.15298686717757803,-0.014084551402535728,False,False
0000005513-26-000069,UNM,"1.01,7.01,9.01",2026-07-06 10:55:28+00:00,34269,ADMINISTRATIVE,True,5.7,HIGH,False,,13075500000.0,12957431611.052856,4.359297923597568e-10,UNM|2026-07-06 10:55:00+00:00,False,False,-0.005326642843227147,-0.07044239458658819,False,False
0001505155-26-000055,UPLD,8.01,2026-07-08 13:07:59+00:00,4015,ADMINISTRATIVE,False,,NONE,False,,216876000.0,609968435.9513664,,UPLD|2026-07-08 13:07:00+00:00,False,False,0.1454930011911335,-0.19114685097974693,False,False
0001505155-26-000059,UPLD,"5.02,7.01,9.01",2026-07-21 21:03:45+00:00,7769,ADMINISTRATIVE,False,,NONE,False,,216876000.0,609968435.9513664,,UPLD|2026-07-21 21:03:00+00:00,False,False,0.1415730654929972,-0.09662917904925306,False,False
0001505155-26-000049,UPLD,5.02,2026-07-07 16:01:36+00:00,5940,ADMINISTRATIVE,False,,NONE,False,,216876000.0,609968435.9513664,,UPLD|2026-07-07 16:01:00+00:00,False,True,0.08646950844638801,-0.2328243976108637,False,False
0001213900-26-080645,USAR,"3.02,7.01,8.01,9.01",2026-07-23 12:32:44+00:00,26680,ADMINISTRATIVE,True,,NONE,False,,1643000.0,1894956916.4809685,,USAR|2026-07-23 12:32:00+00:00,False,False,0.010932480656510535,-0.09067523023261614,True,False
0001067701-26-000028,URI,"2.02,7.01,9.01",2026-07-22 20:23:15+00:00,56654,MA_ACTIVITY,False,248000000.0,HIGH,True,convertible,3695000000.0,63078203497.97388,0.06711772665764547,URI|2026-07-22 20:23:00+00:00,False,False,0.05836102613969807,-0.04493453117793855,True,False
0001213900-26-078760,USAR,"1.01,8.01,9.01",2026-07-16 21:00:39+00:00,108777,MA_ACTIVITY,True,300.0,HIGH,False,,1643000.0,1894956916.4809685,0.0001825928180158247,USAR|2026-07-16 21:00:00+00:00,False,False,0.048265581588860185,-0.041354727161671545,False,True
0001437749-26-023560,USGO,"7.01,9.01",2026-07-14 21:18:11+00:00,7775,ADMINISTRATIVE,False,,NONE,False,,,129490122.4438057,,USGO|2026-07-14 21:18:00+00:00,False,False,0.054717035226810706,-0.08874209634893881,False,False
