ticker,direction,move,move_date,last_close,median_dollars,n_filings,forms,has_8k,has_offering,has_merger,has_13d,has_insider,bearish_item,bullish_item,scheduled_item,no_filing
TTRX,down,-0.24361497264884624,2026-07-21,7.429999828338623,674800.0240325928,0,,False,False,False,False,False,False,False,False,True
TTGT,up,0.3294117218070389,2026-07-24,4.519999980926514,1421784.0109348297,0,,False,False,False,False,False,False,False,False,True
TTMI,down,-0.2974111677265827,2026-07-23,101.7699966430664,338259659.765625,0,,False,False,False,False,False,False,False,False,True
TVRD,up,0.6129032754253041,2026-07-08,2.140000104904175,2861438.0651950836,1,8-K,True,False,False,False,False,False,False,True,False
TZOO,down,-0.2585700153400522,2026-07-28,7.460000038146973,965936.0252380371,1,8-K,True,False,False,False,False,False,False,True,False
UCTT,down,-0.3143110553657481,2026-07-22,69.56999969482422,155875431.36749268,0,,False,False,False,False,False,False,False,False,True
UFI,up,0.3039999961853028,2026-07-07,6.159999847412109,508247.98135757446,0,,False,False,False,False,False,False,False,False,True
UMAC,up,0.29326930571590215,2026-07-16,17.260000228881836,64910601.20201111,0,,False,False,False,False,False,False,False,False,True
UMAC,down,-0.20461895534557595,2026-07-06,17.260000228881836,64910601.20201111,0,,False,False,False,False,False,False,False,False,True
UP,down,-0.23915592329596114,2026-07-07,5.599999904632568,567680.0084590912,0,,False,False,False,False,False,False,False,False,True
UTI,down,-0.21103016754738146,2026-07-13,41.040000915527344,35863808.22181702,0,,False,False,False,False,False,False,False,False,True
VEEE,up,4.157676291489159,2026-07-13,12.9399995803833,3047950.06275177,1,8-K,True,False,False,False,False,False,True,True,False
VEEE,down,-0.3095299581532347,2026-07-15,12.9399995803833,3047950.06275177,3,"4,425,8-K",True,False,True,False,True,False,True,True,False
VELO,down,-0.2928913064862173,2026-07-09,8.4399995803833,23402148.183059692,0,,False,False,False,False,False,False,False,False,True
VENU,up,0.22018348824525358,2026-07-01,2.0899999141693115,1336698.9557027817,0,,False,False,False,False,False,False,False,False,True
VERX,up,0.22314042928303746,2026-07-23,13.319999694824219,23212559.074401855,0,,False,False,False,False,False,False,False,False,True
VIAV,down,-0.23715977414825262,2026-07-22,32.22999954223633,204623323.8357544,0,,False,False,False,False,False,False,False,False,True
VIVO,down,-0.26386235361532373,2026-07-10,3.1700000762939453,4832567.822742462,4,"6-K,6-K/A",False,False,False,False,False,False,False,False,False
VIVK,up,0.49132941922612905,2026-07-21,2.4000000953674316,1695161.8631386757,4,"424B3,8-K,EFFECT",True,True,False,False,False,True,True,True,False
VIVK,down,-0.46948359881744395,2026-07-17,2.4000000953674316,1695161.8631386757,3,"8-K,EFFECT",True,False,False,False,False,True,True,True,False
VRAX,up,1.0,2026-07-09,2.930000066757202,434980.0125360489,2,"20-F,6-K",False,False,False,False,False,False,False,False,False
VRAX,down,-0.3584905915007377,2026-07-10,2.930000066757202,434980.0125360489,2,6-K,False,False,False,False,False,False,False,False,False
VRRM,up,0.22009572107078457,2026-07-29,5.099999904632568,18027652.093076706,2,"8-K,8-K/A",True,False,False,False,False,False,False,True,False
VRT,down,-0.2664123568685577,2026-07-23,223.0399932861328,1757107977.1850586,0,,False,False,False,False,False,False,False,False,True
VWAV,down,-0.4028571673801967,2026-07-22,2.0899999141693115,1834383.0335617065,1,8-K,True,False,False,False,False,True,True,False,False
WDAY,up,0.3139124962701767,2026-07-23,168.00999450683594,568113635.2027893,0,,False,False,False,False,False,False,False,False,True
WERN,down,-0.20013090855566174,2026-07-22,36.650001525878906,44321685.70480347,0,,False,False,False,False,False,False,False,False,True
WEX,up,0.21023903215676243,2026-07-22,188.41000366210938,98438391.60766602,1,8-K,True,False,False,False,False,False,False,True,False
WIX,up,0.2581175793809418,2026-07-22,61.220001220703125,61289021.47293091,0,,False,False,False,False,False,False,False,False,True
WLFC,down,-0.670649616790608,2026-07-20,69.22000122070312,30716613.191223145,2,8-K,True,False,False,False,False,False,True,True,False
WOLF,down,-0.3146566739932659,2026-07-22,20.059999465942383,141236225.1159668,-1,,False,False,False,False,False,False,False,False,False
WNW,down,-0.26331363158885235,2026-07-16,2.490000009536743,265184.9964380264,1,6-K,False,False,False,False,False,False,False,False,False
WRAP,up,0.4842766324231116,2026-07-09,1.6299999952316284,867791.9815063477,8,"4,SCHEDULE 13G/A",False,False,False,False,True,False,False,False,False
WRAP,down,-0.21929824836586542,2026-07-15,1.6299999952316284,867791.9815063477,5,"4,4/A,8-K,SCHEDULE 13G/A",True,False,False,False,True,False,True,False,False
WULF,down,-0.24738150988577412,2026-07-23,15.09000015258789,684831140.1626587,0,,False,False,False,False,False,False,False,False,True
WYFI,up,0.22455468657815647,2026-07-02,20.579999923706055,83960554.00428772,0,,False,False,False,False,False,False,False,False,True
WYFI,down,-0.3467532566615513,2026-07-10,20.579999923706055,83960554.00428772,0,,False,False,False,False,False,False,False,False,True
XNCR,up,0.3678930450732003,2026-07-14,19.530000686645508,16086399.912834167,8,4,False,False,False,False,True,False,False,False,False
XMTR,down,-0.20848832549813545,2026-07-21,80.97000122070312,72351465.35339355,0,,False,False,False,False,False,False,False,False,True
YYGH,up,0.2560000419616699,2026-07-06,1.25,763007.9829454422,0,,False,False,False,False,False,False,False,False,True
ZSQR,up,0.20596588311393638,2026-07-09,5.289999961853027,4445759.975910187,3,"3,8-K,S-3ASR",True,True,False,False,True,False,True,False,False
ZSQR,down,-0.22747953158015766,2026-07-07,5.289999961853027,4445759.975910187,4,"3,8-K,S-3ASR",True,True,False,False,True,False,True,True,False
ZVRA,down,-0.23921731068118246,2026-07-24,9.779999732971191,14640730.311203003,0,,False,False,False,False,False,False,False,False,True
