ticker,cik,entity,revenue,concept,period,market_cap,as_of,rev_per_cap
NGS,0001084991,"NATURAL GAS SERVICES GROUP, INC.",172315000.0,Revenues,CY2025,361971189.69522095,2025-11-06,0.4760461741308442
NGTF,0001593001,"NIGHTFOOD HOLDINGS, INC.",482285.0,Revenues,CY2025,4656674.967068903,2025-09-25,0.10356853407433962
NGVC,0001547459,"Natural Grocers by Vitamin Cottage, Inc.",1330836000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,736597361.3125191,2025-11-02,1.8067346828783453
NGVT,0001653477,INGEVITY CORPORATION,1167600000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,1951310849.1425514,2025-10-30,0.5983669903301511
NHC,0001047335,NATIONAL HEALTHCARE CORP,1517781000.0,Revenues,CY2025,1851428847.684021,2025-11-02,0.8197889980479748
NHI,0000877860,"National Health Investors, Inc.",80062000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,3572355290.0,2025-10-30,0.02241154462550672
NHP,0001561032,"National Healthcare Properties, Inc.",342279000.0,Revenues,CY2025,,,
NHTC,0000912061,Natural Health Trends Corp.,39776000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,50081875.15202761,2025-10-23,0.7942194632141212
NI,0001111711,NiSource Inc.,6522800000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,20430398553.12291,2025-10-28,0.3192693467550074
NIC,0001174850,,,,,1709136409.1218872,2025-10-29,
NICE,0001003935,NICE LTD.,2945399000.0,Revenues,CY2025,9751228179.496078,2025-03-31,0.3020541562337034
NICH,0000772263,NITCHES INC.,4830.0,Revenues,CY2024,235775.10809311992,2025-12-14,0.020485623096787555
NIHK,0001084475,,,,,455926.23230925435,2025-09-28,
NIKA,0001145604,"NIKA PHARMACEUTICALS, INC.",0.0,Revenues,CY2024,307921812.535713,2025-11-05,0.0
NIMU,0000720762,,,,,464431.9690370024,2025-09-09,
NINE,0001532286,"Nine Energy Service, Inc.",561911000.0,Revenues,CY2025,,,
NIPG,0001966233,,,,,5477054292.785282,2025-03-31,
